,명지대학교,스포츠학부,지그재그,제멀,농구,배구,,
,목포대학교,체육학과,비실기,,,,,
112,상명대학교,스포츠건강관리,제멀,서전트,20m,,,
113,상지대학교,체육학전공,싯업,제멀,체전굴,10m,,
114,서경대학교,스포츠앤테크놀로지학과,좌전굴,제멀,싯업,,,
115,서원대학교,레저스포츠학부,10m,제멀,좌전굴,농던/핸던,,
116,선문대학교,스포츠과학전공,20m,싯업,제멀,,,
116,선문대학교,피트니스재활전공,20m,싯업,제멀,,,
117,순천대학교,사회체육학과,사이드스텝,서전트,좌전굴,싯업,,
118,순천향대학교,사회체육학과,20m,제멀,농던,,,
119,순천향대학교,스포츠과학과,제멀,농던,싯업,,,
120,순천향대학교,스포츠의학과,20m,제멀,,,,
121,숭실대학교,스포츠학부,제멀,좌전굴,앉메,싯업,,
122,영남대학교,특수체육교육과,제멀,10m,배구,,,
,영산대학교,스포츠공무원학부,비실기,,,,,
,우석대학교,생활체육학과,10m,제멀,싯업,,,
,우석대학교,스포츠마케팅학과,비실기,,,,,
123,인하대학교,체육교육과,10m,제멀,,,,
124,전주대학교,생활체육학과,20m,제멀,,,,
125,제주대학교,체육교육과,20m,체전굴,서전트,농구,배구,
,차의과대학교,미래융합대학,비실기,,,,,
126,창원대학교,체육학과,100m,제멀,,,,
,한국외국어대학교,글로벌스포츠산업학부,비실기,,,,,
